Date,Strategy_Gross,Strategy_Net,KOSPI,SP500
2025-10-31,-0.013512989530825803,-0.013512989530825803,-0.013512989530825803,-0.029792535494217898
2025-11-30,-0.08901505730872816,-0.08901505730872805,-0.08901505730872805,-0.05110085404168474
2025-12-31,-0.07141385215556151,-0.07141385215556117,-0.07141385215556129,-0.026020841069229084
2026-01-31,-0.008112110651754323,-0.008112110651754323,-0.008112110651754323,-0.025856840246254342
2026-02-28,-0.05257868906430618,-0.052578689064306405,-0.052578689064306405,-0.025821825694385403
2026-03-31,-0.198946612401245,-0.198946612401245,-0.1989466124012449,-0.09097524918009314
2026-04-30,-0.17015602629980964,-0.17015602629980964,-0.17015602629980953,-0.05778813340700539
2026-05-31,-0.09678239809757927,-0.09678239809757927,-0.09678239809757938,-0.01968079497270625
2026-06-30,-0.14964284456381793,-0.14964284456381838,-0.14964284456381804,-0.04504592254428963
2026-07-31,-0.38630431562721135,-0.38630431562721135,-0.38630431562721135,-0.03858585808031645
2026-08-31,-0.31346583210361456,-0.31346583210361456,-0.31346583210361456,-0.020237245256359504
